TimeStamp;DriverId;CurveId
30.11.YY 02:56:48.783;1;1
30.11.YY 02:56:48.977;1;1
30.11.YY 02:56:49.175;1;1
30.11.YY 02:56:49.373;1;1
30.11.YY 02:56:49.571;1;1
30.11.YY 02:56:49.771;1;1
30.11.YY 02:56:49.969;1;1
30.11.YY 02:56:50.174;1;1
30.11.YY 02:56:50.373;1;1
30.11.YY 02:56:50.572;1;1
30.11.YY 02:56:50.770;1;1
30.11.YY 02:56:50.979;1;1
30.11.YY 02:56:51.173;1;1
30.11.YY 02:56:51.375;1;1
30.11.YY 02:56:51.573;1;1
30.11.YY 02:56:51.768;1;1
30.11.YY 02:56:51.976;1;1
30.11.YY 02:56:52.177;1;1
30.11.YY 02:56:52.388;1;1
30.11.YY 02:56:52.576;1;1
30.11.YY 02:56:52.773;1;1
30.11.YY 02:56:52.977;1;1
30.11.YY 02:56:53.175;1;1
30.11.YY 02:56:53.375;1;1
30.11.YY 02:56:53.578;1;1
30.11.YY 02:56:53.785;1;1
30.11.YY 02:56:53.980;1;1
30.11.YY 02:56:54.175;1;1
30.11.YY 02:56:54.392;1;1
30.11.YY 02:56:54.570;1;1
30.11.YY 02:56:54.771;1;1
30.11.YY 02:56:54.970;1;1
30.11.YY 02:56:55.177;1;1
30.11.YY 02:56:55.373;1;1
30.11.YY 02:56:55.575;1;1
30.11.YY 02:56:55.779;1;1
30.11.YY 02:56:55.972;1;1
30.11.YY 02:56:56.176;1;1
30.11.YY 02:56:56.390;1;1
30.11.YY 02:56:56.572;1;1
30.11.YY 02:56:56.771;1;1
30.11.YY 02:56:56.972;1;1
30.11.YY 02:56:57.174;1;1
30.11.YY 02:56:57.371;1;1
30.11.YY 02:56:57.572;1;1
30.11.YY 02:56:57.808;1;1
30.11.YY 02:56:57.997;1;1
30.11.YY 02:56:58.174;1;1
30.11.YY 02:56:58.375;1;1
30.11.YY 02:56:58.587;1;1
30.11.YY 02:56:58.774;1;1
30.11.YY 02:56:58.982;1;1
30.11.YY 02:56:59.171;1;1
